Source	Target	Change
Ye' shka'	Kë̀ ye' shkàne̠	TYPE:NEG
Ye' shka'	Ye' shka'ku̠	MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Ye' shka'	Kë̀ ye' shka'ku̠	TYPE:NEG;MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Ye' shka'	Kë̀ shkar	TYPE:NEG;MODE:IMP;TENSE:IPFV_REC;ASPECT:IPFV;VOICE:MID;ABSNUM:NI;PERSON:NA
Ye' shka'	Sa' kë̀ ku̠'bak shkö́k	TYPE:NEG;TENSE:PRF_PROG;ABSNUM:PL;PERSON:1_PL_EXC
Ye' shka'	Ye' shka'mi̠	ASPECT:INC
Ye' shka'	Ye' shkémi̠	TENSE:PRF_REC;ASPECT:INC
Ye' shka'	Ye' shkö̀	TENSE:IPFV_REC;ASPECT:IPFV
Ye' shka'	Kë̀ ye' shkö	TYPE:NEG;TENSE:IPFV_REC;ASPECT:IPFV
Ye' shka'	Ye' tso shkö́k	TENSE:IPFV_PROG;ASPECT:IPFV
Ye' shka'	Ye' kë̀ ku̠ shkö́k	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV
Ye' shka'	Ye' bák shkö́k	TENSE:PRF_PROG
Ye' shka'	Ye' kë̀ ku̠'bak shkö́k	TYPE:NEG;TENSE:PRF_PROG
Ye' shka'	Be' shkö́	MODE:IMP;TENSE:IPFV_REC;ASPECT:IPFV;PERSON:2_SI
Ye' shka'	Kë̀ be' shkök	TYPE:NEG;MODE:IMP;TENSE:IPFV_REC;ASPECT:IPFV;PERSON:2_SI
Ye' shka'	Se' shkö̀	MODE:EXH;TENSE:IPFV_REC;ASPECT:IPFV;ABSNUM:PL;PERSON:1_PL_INC
Ye' shka'	Ye' shka'	MODE:ADVERS
Ye' shka'	Ye' shké	TENSE:PRF_REC
Ye' shka'	Ye' kë̀ shkàne̠	TYPE:NEG;TENSE:PRF_REC
Ye' shka'	Ye' shkö̀ke̠	TENSE:IPFV_HAB;ASPECT:IPFV
Ye' shka'	Kë̀ ye' shkö̀ku̠	TYPE:NEG;TENSE:IPFV_HAB;ASPECT:IPFV
Ye' shka'	Ye' shkö̀mi̠	TENSE:FUT_POT;ASPECT:IPFV
Ye' shka'	Kë̀ ye' shkök	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV
Ye' shka'	Ye' shkö̀râ	TENSE:FUT_CER;ASPECT:IPFV
Ye' shka'	Kë̀ ye' shkö̀pa	TYPE:NEG;TENSE:FUT_CER;ASPECT:IPFV
Ye' shka'	Shkàr	TENSE:IPFV_REC;ASPECT:IPFV;VOICE:MID;ABSNUM:NI;PERSON:NA
Ye' shka'	Kë̀ shkàr	TYPE:NEG;TENSE:IPFV_REC;ASPECT:IPFV;VOICE:MID;ABSNUM:NI;PERSON:NA
Ye' shka'	Shkàne̠	VOICE:MID;ABSNUM:NI;PERSON:NA
Ye' shka'	Kë̀ shkàne̠	TYPE:NEG;VOICE:MID;ABSNUM:NI;PERSON:NA
Ye' shka'	Shkàna̠	TENSE:PRF_REC;VOICE:MID;ABSNUM:NI;PERSON:NA
Ye' shka'	Kë̀ shkàne̠	TYPE:NEG;TENSE:PRF_REC;VOICE:MID;ABSNUM:NI;PERSON:NA
Ye' shka'	Shkàrke̠	TENSE:IPFV_HAB;ASPECT:IPFV;VOICE:MID;ABSNUM:NI;PERSON:NA
Ye' shka'	Kë̀ shkàrku̠	TYPE:NEG;TENSE:IPFV_HAB;ASPECT:IPFV;VOICE:MID;ABSNUM:NI;PERSON:NA
Ye' shka'	Shkàrmi̠	TENSE:FUT_POT;ASPECT:IPFV;VOICE:MID;ABSNUM:NI;PERSON:NA
Ye' shka'	Kë̀ shkànu̠k	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV;VOICE:MID;ABSNUM:NI;PERSON:NA
Ye' shka'	Shkàrdâ	TENSE:FUT_CER;ASPECT:IPFV;VOICE:MID;ABSNUM:NI;PERSON:NA
Ye' shka'	Kë̀ shkàrpa	TYPE:NEG;TENSE:FUT_CER;ASPECT:IPFV;VOICE:MID;ABSNUM:NI;PERSON:NA
Ye' shka'	Shkárule	TENSE:PAS_PLU;VOICE:MID;ABSNUM:NI;PERSON:NA
Ye' shka'	Ye' shkárule	TENSE:PAS_PLU
Ye' shka'	Kë̀ shkárule	TYPE:NEG;TENSE:PAS_PLU;VOICE:MID;ABSNUM:NI;PERSON:NA
Ye' shka'	Ye' kë̀ shkárule	TYPE:NEG;TENSE:PAS_PLU
Ye' shka'	Ye' shkó	MODE:POT;TENSE:IPFV_REC;ASPECT:IPFV
Ye' shka'	Kë̀ ye' shko	TYPE:NEG;MODE:POT;TENSE:IPFV_REC;ASPECT:IPFV
Ye' tö i sík	Ye' kë̀ wa̠ i síne̠	TYPE:NEG
Ye' tö i sík	Ye' tö i skè	TENSE:IPFV_REC;ASPECT:IPFV
Ye' tö i sík	Ye' tso i skö́k	TENSE:IPFV_PROG;ASPECT:IPFV
Ye' tö i sík	Ye' kë̀ ku̠ i skö́k	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV
Ye' tö i sík	Ye' bák i skö́k	TENSE:PRF_PROG
Ye' tö i sík	Ye' kë̀ ku̠'bak i skö́k	TYPE:NEG;TENSE:PRF_PROG
Ye' tö i sík	Be' tso i skö́k	TENSE:IPFV_PROG;ASPECT:IPFV;PERSON:2_SI
Ye' tö i sík	Be' kë̀ ku̠ i skö́k	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV;PERSON:2_SI
Ye' tö i sík	Be' bák i skö́k	TENSE:PRF_PROG;PERSON:2_SI
Ye' tö i sík	Be' kë̀ ku̠'bak i skö́k	TYPE:NEG;TENSE:PRF_PROG;PERSON:2_SI
Ye' tö i sík	Ie' tso i skö́k	TENSE:IPFV_PROG;ASPECT:IPFV;PERSON:3_SI
Ye' tö i sík	Ie' kë̀ ku̠ i skö́k	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV;PERSON:3_SI
Ye' tö i sík	Ie' bák i skö́k	TENSE:PRF_PROG;PERSON:3_SI
Ye' tö i sík	Ie' kë̀ ku̠'bak i skö́k	TYPE:NEG;TENSE:PRF_PROG;PERSON:3_SI
Ye' tö i sík	Sa' tso i skö́k	TENSE:IPFV_PROG;ASPECT:IPFV;PERSON:1_PL_EXC
Ye' tö i sík	Sa' kë̀ ku̠ i skö́k	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV;PERSON:1_PL_EXC
Ye' tö i sík	Sa' bák i skö́k	TENSE:PRF_PROG;PERSON:1_PL_EXC
Ye' tö i sík	Sa' kë̀ ku̠'bak i skö́k	TYPE:NEG;TENSE:PRF_PROG;PERSON:1_PL_EXC
Ye' tö i sík	Se' tso i skö́k	TENSE:IPFV_PROG;ASPECT:IPFV;PERSON:1_PL_INC
Ye' tö i sík	Se' kë̀ ku̠ i skö́k	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV;PERSON:1_PL_INC
Ye' tö i sík	Se' bák i skö́k	TENSE:PRF_PROG;PERSON:1_PL_INC
Ye' tö i sík	Se' kë̀ ku̠'bak i skö́k	TYPE:NEG;TENSE:PRF_PROG;PERSON:1_PL_INC
Ye' tö i sík	A' tso i skö́k	TENSE:IPFV_PROG;ASPECT:IPFV;PERSON:2_PL
Ye' tö i sík	A' kë̀ ku̠ i skö́k	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV;PERSON:2_PL
Ye' tö i sík	A' bák i skö́k	TENSE:PRF_PROG;PERSON:2_PL
Ye' tö i sík	A' kë̀ ku̠'bak i skö́k	TYPE:NEG;TENSE:PRF_PROG;PERSON:2_PL
Ye' tö i sík	Ie'pa tso i skö́k	TENSE:IPFV_PROG;ASPECT:IPFV;PERSON:3_PL
Ye' tö i sík	Ie'pa kë̀ ku̠ i skö́k	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV;PERSON:3_PL
