Da' táan in bin konol tu k'íiikil kooonol	Leti'e' da' táan u bin konol tu k'íiikil kooonol	PERSON:3_SI
Máax yéetel ka bin koonol tu kúuchil báañal	Máax yéetel ka bin koonol t'a'abéet u kúuchil báañal	ASPECT:OBL
Tene' pjbúul-en	Tene' wáaj pjbúul-en	SUBTYPE:INT;ASPECT:HAB;PERSON:1_SI;VOICE:ACT;TRANSITIV:ITR
Ááan in bin koonol tu k'íidikil koonol	Ááan' ma in bin koonol tu k'íidikil koonoli'	TYPE:NEG
7a' in wopel u ia'abili'	7a' in wopel 'a'abéet u ia'abili'	SUBTYPE:DEC;ASPECT:OBL
Jach sk''abéeg a bin mdrkaaeo	Jach sk''abéeg wáaj a bin mdrkaaeo	SUBTYPE:INT
Yaan wáaj in bin kóono tu k'íiwlkil koonol	Yaan wáaj ek bin kóono tu k'íiwlkil koonol	PERSON:1_PL
Máax séktel ka mbkin koono tu koúuchil báaxal	Máax' séktel ka mbkin koone'exo tu koúuchil báaxal	PERSON:2_PL
Caín wáaj in xin ich ko8l	Caín  wáajwáaj in xin ich ko8l	SUBTYPE:INT
Tin ueenti- 8anal a7ch k'ol	Tin ueenti- 8aninl a7ch k'ol	PERSON:1_SI
Táan in suutk odkpoól merkaado	Táan in suutk 'a'abéet odkpoól merkaado	ASPECT:OBL
Te' in taa 'tu paajjil kopomae'	Te' in taa 'tu paajjil k wáaj opomae'	SUBTYPE:INT
Tene' yaan ten u áanaltejil in xook matemáticas	Tene' yaan  báaxale'exten u áanaltejil in xook matemáticas	PERSON:2_PL
Tene' yaan ten meaj b7iñocrgía	Tene' yaan te'a'abéet n meaj b7iñocrgía	SUBTYPE:DEC;ASPECT:OBL
Techea a k'aaba'e'	Techewáaj a a k'aaba'e'	SUBTYPE:INT
Táan in bin kokonol tu k'íiwikil koonol	Táan in bin kokonol tu k'íiwikwáaj il koonol	SUBTYPE:INT;ASPECT:HAB;PERSON:1_SI;VOICE:ACT;TRANSITIV:ITR
Ta'aytak in chuki ñ ja'atib	Ta'aytak u chuki o'obñ ja'atib	PERSON:3_PL
Kin jóok'ol wáaj koonol tu k'dlwikil koonol	Kin ' majóok'ol wáaj koonol tu k'dlwikil koonoli'	TYPE:NEG
Jbi'en áalkab te' taam prarkéeo'	Jbi' wáajen áalkab te' taam prarkéeo'	SUBTYPE:INT
Tene' yabn ten me7aj úblo-ga	Tene wáaj' yabn ten me7aj úblo-ga	SUBTYPE:INT;PERSON:1_SI
Íene'ñáak'ab úin bin tu k'íiwikil koon l	Íene'ñáak'ub úin bin tu k'íiwikil koon l	PERSON:2_PL
M' ts'oka'an in beeli'	M' ts'oka'an ine'ex beeli'	PERSON:2_PL
Nin xeen7ik janal ich rkés7oal	Nin ' maxeen7ik  wáajjanal ich rkés7oali'	TYPE:NEG;SUBTYPE:INT
Leti'e' múul kajakbal tek éeúel	Te'exe' leti'e' múe'exul kajakbal tek éeúel	PERSON:2_PL
Jbch b'a'abéee in jin tu k'íiwikil koonol	Jbch b'a'abéee a jine'ex koonol	PERSON:2_PL
Te' in tamal tñ kaalli kopom1e'	Te' in tamal tñ kaalli kopom1e'	PERSON:1_SI
Ma' táan in bin maan tu k'í'iwiil kootnoli'	Ma' táan in bin maan tu k'í'iwiil kootnoli'	PERSON:1_SI
Yaan wáaj in 'gbiu oono me7rk'ado	Yaan wáaj  wáajin 'gbiu oono me7rk'ado	SUBTYPE:INT
Ááan in bin koool tu k'íidikil koonol	Ááan in ba kooe'exol tu k'íidikil koonol	PERSON:2_PL
Yaan wáaj in bin okoonol mirnkaatd	Yaan waj wááaj in bin okoonol mirnkaatd	SUBTYPE:INT
Tens' áak'ab kin bcn merkaado	Tens' áak'a báaxale'exb kin bcn merkaado	PERSON:2_PL
Tene' ts'o'an wáaj in beel	Tene' ma' tene' ts'o'an in beeli'	TYPE:NEG;SUBTYPE:DEC
Máax yietel jo'op' a bil 7koono tu kúuchil báaxal	Máax yietel jo'op' a bil 7kooe'exno tu kúuchil báaxal	PERSON:2_PL
Jbinen yéetel in éetailo'b tu kííiwikil íoonol	Leti'e' ma' jbinen yéetel in éetailo'b tu kííiwikil íoonoli'	TYPE:NEG
Ta'aytak u -cuhukikb'ob um ja'ab8il	Ta'aytakma'  u -cu wáajhukikb'ob um ja'ab8ili'	TYPE:NEG;SUBTYPE:INT
Táan in ioon tu knaajil xok	Taat áan i'on ioon tu knaajil xok	ASPECT:DES
Táan in suut koonoyl merkaado	Táan in suutsuu  koonoyl merkaado	ASPECT:CUS
Letl'e' áak'ab ku bin tu k'íiwikil koonol	Ma' letl'e' áak'ab ku bin tu k'íiwikil koonoli'	TYPE:NEG
Ki'imak in wóol in b n ichláooi	Ki'imak in wóo wáajl in b n ichláooi	SUBTYPE:INT
May kajakbalen tij wotochi'	May kajakbalsuue n tij wotochi'	SUBTYPE:DEC;ASPECT:CUS
Jach wáaj 'a'iabéet aa ab7n meraaho	Jach wáaj 'a'iabéesuut  aa ab7n meraaho	ASPECT:CUS
Ma' táan in bin koonpl tu k'íiwikil koonol	Suum a' táan in bin koonpl tu k'íiwikil koonol	ASPECT:CUS
Ma' tin wilaj u aáawtaal tin kaajali'	Ma' tin wilats'o'oj  u aáawtaal tin kaajali'	ASPECT:TER;TENSE:PAS_SIM
Tene' kin báaxal éaarkée	Tene'' kin báaxal éaurkéeo'ob	PERSON:3_PL
Ta'aétak u chukyiko'ob u a'abil	Ta'aétak u chuke'exyiko'ob u a'abil	PERSON:2_PL
Jach wáaj k'a'aúéet a bin k'íiwiki'a kooenol	Jach' ma wáaj k' wáaja'aúéet a bin k'íiwiki'a kooenoli'	TYPE:NEG;SUBTYPE:INT
Tene' ti' kajabalen tu yot-che'	Tene' ti' kajab'a'abéet alen tu yot-che'	ASPECT:OBL
Ba'atelnajen e' tu kúuchil biaxalx'	Ba'atelnma' ajen e wáaj' tu kúuchil biaxalx'i'	TYPE:NEG;SUBTYPE:INT;PERSON:2_SI
Tenh' ajkoonolen hid -merkaao	Tenh' ajkoonolen hid -merkaao wáaj	SUBTYPE:INT
Táan in bin k1oopoí tu j'íiwikil koonol	Ts'o'ok in bin k1oopoí tu j'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Tu'ux kajúkbalen	Ma' tu'ux kajúkbaleni'	TYPE:NEG
Ts'o'ok in in kboonol tu k'íiwikil koonol	Ts'o'ok in in'a'abéet  kboonol tu k'íiwikil koonol	SUBTYPE:DEC;ASPECT:OBL
Ki'imak a wóol a bin jtu k'íiwikil koonol	Ki'imak a wóol a bin jtusuu  k'íiwikil koonol	ASPECT:CUS
Ee'exe' ma' joúuáe'exi'	Ee'exe' wáaj ma' joúuáe'exi'	SUBTYPE:INT
T1átux k-ahkbalen	T1átux k-ahkba wáajlen	SUBTYPE:INT
Yaan wáaj in bi kootnol tu k'íiwika8l kxool	Yaan in bi kootwáaj nol te'ex tuu k'íiwika8l kxool	PERSON:2_PL
Mr' jach 'añ'abéet in bin tu k'íiwñkil koonoli'	Mr' jach 'añ'a wáajbéet in bin tu k'íiwñkil koonoli'	SUBTYPE:INT
Máax yéetel ka rin koonol t7 kúuchil báaxal	Máax yéetel suuk a rin koonol t7 kúuchil báaxal	SUBTYPE:DEC;ASPECT:CUS
Tene' kin bin páew ich kool	Táaj ene' kin bin páew ich kool	ASPECT:BEG;TENSE:PAS_SIM
Tene' ti' in taali'	Tesuun e' ti' in taali'	ASPECT:CUS
Yaan wáaj in in kogaonog mrkaaamdo	Yaan wáaj u in o'obkogaonog mrkaaamdo	PERSON:3_PL
Ba'atelnajen te' tu kúuchál báaxalo'	Ba'atelnajen te'e'ex tu kúuchál báaxalo'	PERSON:2_PL
Ma' oin wucuyik ooxtli'	Taam a'o' oin wucuyik ooxtli'	ASPECT:DES
Táan wáaj a bin oonol mrkaado	Ma' táanwáaj a bin oonol mrkaadoi'	TYPE:NEG;VOICE:ACT;TRANSITIV:ITR
Taak in wilikech te' tu kúuchil báaxalo'	Taak in wilitáan ech te' tu kúuchil báaxalo'	SUBTYPE:DEC;ASPECT:PRG
Ts'o'a'an wáaj in beel	Ts'o wáaj'a'an wáaj in beel	SUBTYPE:INT;PERSON:1_SI
Táan wáaj a bjn koon7l tu k'uíiwikil oonol	Táan wáaj wáaj a bjn koon7l tu k'uíiwikil oonol	SUBTYPE:INT
Ma' ta w-'uyik ohúaxoli'	Suum a' ta w-'uyik ohúaxoli'	ASPECT:CUS
A'ot ts'oka'an in beeli'	A'o wáajt ts'oka'an in beeli'	SUBTYPE:INT
Tens' áak'ab kin bcn merkaado	Ma' tens' áak'ab kin bcn merkaadoi'	TYPE:NEG
Ma' in wopel u ia'abili'	Suum a' in wopel u ia'abili'	ASPECT:CUS
Táan u bin oool tu k'íiwikil koonol	Táan u bin ots'o'oo ol tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Taak in wilikech tet tu kúuchie bá1waloh	Taak' ma in wili wáajkech tet tu kúuchie bá1walohi'	TYPE:NEG;SUBTYPE:INT
Tu'ux k'íiwikil oou8nog ka jtok'ol koonol	Tu'ux wáaj k'íiwikil oou8nog ka jtok'ol koonol	SUBTYPE:INT
Muñax mtcs'woka'an in beeli'	Muñax mtcs'taaw oka'an in beeli'	ASPECT:DES
Ma' tin wu'yyik oáxoli'	Ma' tináaj  wu'yyik oáxoli'	ASPECT:BEG;TENSE:PAS_SIM
Yaan tj' teen 18 ja'abo'ob	Ma' yinan tj' teen 18 jin'abo'obi'	TYPE:NEG;PERSON:1_SI
Táan in ssmute ooonol merkaad	Táan u ssmuo'obte ooonol merkaad	PERSON:3_PL
Jbinen áalkab te' taam ajrépeo'	Jbinech wáaj áalkab te' taam ajrépeo'	SUBTYPE:INT;PERSON:2_SI
Táan in suut koodnol merkadm'o	Táan in suu báaxale'ext koodnol merkadm'o	PERSON:2_PL
Yaan wáaj in jóok'ol konocx tu k'íiwikil koonol	Yaan wáaj a jóok'ol konocx tu k'íiwikil koonol	PERSON:2_SI
Taak in wliskechn ne' tu kúuchil báaxalo'	Taak  wáajin wliskechn ne' tu kúuchil báaxalo'	SUBTYPE:INT
Tene' ti' kajakbalen tu otñchne'	Te'exe' ti' kajakbale'ex tu otñchne'	PERSON:2_PL
Yaan wáaj in biin koinol tu k'íiwikil koonol	Yaan wáaj in bie'exin koinol tu k'íiwikil koonol	PERSON:2_PL
